Size,Number of threads,Execution time1,Execution time2,Execution time3,Execution time4,Average
128,1,11780,11863,11841,11904,11847
128,2,11788,11877,11756,12124,11886.25
128,4,12614,13044,12655,11810,12530.75
128,8,12273,13486,12795,14259,13203.25
256,1,98663,93412,94510,92816,94850.25
256,2,95448,93236,92886,93438,93752
256,4,94308,94572,94699,93585,94291
256,8,94534,95430,94735,94036,94683.75
512,1,774072,794893,832397,775325,794171.75
512,2,903770,942064,782484,770745,849765.75
512,4,755468,645127,658251,529190,647009
512,8,495326,490056,483945,472515,485460.5
1024,1,6171637,5250961,5295482,5295970,5503512.5
1024,2,5066185,4847097,4768051,4845167,4881625
1024,4,4718670,4588704,4553732,4628099,4622301.25
1024,8,5002701,4589862,4473424,4551111,4654274.5
