Size,Number of threads,Execution time1,Execution time2,Execution time3,Execution time4,Average
1000,1,614.000000, 630.000000, 617.000000, 580.000000, 610.25000000000000000000
1000,2,971.000000, 982.000000, 870.000000, 824.000000, 911.75000000000000000000
1000,4,1041.000000, 1060.000000, 1025.000000, 1085.000000, 1052.75000000000000000000
1000,8,2902.000000, 1215.000000, 1825.000000, 1484.000000, 1856.50000000000000000000
10000,1,6334.000000, 6344.000000, 6319.000000, 6398.000000, 6348.75000000000000000000
10000,2,6551.000000, 6642.000000, 6675.000000, 6768.000000, 6659.00000000000000000000
10000,4,6874.000000, 7886.000000, 7289.000000, 7369.000000, 7354.50000000000000000000
10000,8,7075.000000, 7220.000000, 8017.000000, 8180.000000, 7623.00000000000000000000
100000,1,63408.000000, 63740.000000, 63564.000000, 63140.000000, 63463.00000000000000000000
100000,2,60936.000000, 64132.000000, 65031.000000, 64235.000000, 63583.50000000000000000000
100000,4,64830.000000, 65006.000000, 64691.000000, 66469.000000, 65249.00000000000000000000
100000,8,65185.000000, 66114.000000, 66857.000000, 65120.000000, 65819.00000000000000000000
1000000,1,639405.000000, 639485.000000, 640418.000000, 638803.000000, 639527.75000000000000000000
1000000,2,641375.000000, 645398.000000, 641173.000000, 661470.000000, 647354.00000000000000000000
1000000,4,665225.000000, 650496.000000, 642912.000000, 653299.000000, 652983.00000000000000000000
1000000,8,651296.000000, 659803.000000, 666679.000000, 658339.000000, 659029.25000000000000000000
