Size,Number of threads,Execution time1,Execution time2,Execution time3,Execution time4,Average
1000,1,9.000000, 8.000000, 8.000000, 8.000000, 8.25000000000000000000
1000,2,200.000000, 219.000000, 234.000000, 221.000000, 218.50000000000000000000
1000,4,420.000000, 347.000000, 292.000000, 291.000000, 337.50000000000000000000
1000,8,630.000000, 958.000000, 659.000000, 459.000000, 676.50000000000000000000
10000,1,41.000000, 40.000000, 41.000000, 41.000000, 40.75000000000000000000
10000,2,287.000000, 184.000000, 199.000000, 236.000000, 226.50000000000000000000
10000,4,272.000000, 369.000000, 344.000000, 456.000000, 360.25000000000000000000
10000,8,956.000000, 690.000000, 999.000000, 698.000000, 835.75000000000000000000
100000,1,389.000000, 371.000000, 371.000000, 370.000000, 375.25000000000000000000
100000,2,572.000000, 593.000000, 558.000000, 606.000000, 582.25000000000000000000
100000,4,747.000000, 704.000000, 695.000000, 1199.000000, 836.25000000000000000000
100000,8,887.000000, 1021.000000, 1145.000000, 1007.000000, 1015.00000000000000000000
1000000,1,3445.000000, 3354.000000, 3476.000000, 3432.000000, 3426.75000000000000000000
1000000,2,3733.000000, 3674.000000, 3607.000000, 3684.000000, 3674.50000000000000000000
1000000,4,4740.000000, 3842.000000, 4825.000000, 3861.000000, 4317.00000000000000000000
1000000,8,4167.000000, 4139.000000, 4452.000000, 4148.000000, 4226.50000000000000000000
