Size,Number of threads,Execution time1,Execution time2,Execution time3,Execution time4,Average
1000,1,7.000000, 8.000000, 8.000000, 8.000000, 7.75000000000000000000
1000,2,455.000000, 738.000000, 767.000000, 614.000000, 643.50000000000000000000
1000,4,566.000000, 1049.000000, 1071.000000, 2050.000000, 1184.00000000000000000000
1000,8,1403.000000, 1155.000000, 2567.000000, 2243.000000, 1842.00000000000000000000
10000,1,42.000000, 39.000000, 40.000000, 41.000000, 40.50000000000000000000
10000,2,918.000000, 963.000000, 1181.000000, 1112.000000, 1043.50000000000000000000
10000,4,1820.000000, 1300.000000, 3231.000000, 3197.000000, 2387.00000000000000000000
10000,8,3258.000000, 1233.000000, 3557.000000, 3221.000000, 2817.25000000000000000000
100000,1,416.000000, 384.000000, 8196.000000, 382.000000, 2344.50000000000000000000
100000,2,2155.000000, 2771.000000, 2758.000000, 3128.000000, 2703.00000000000000000000
100000,4,5073.000000, 6712.000000, 6882.000000, 6975.000000, 6410.50000000000000000000
100000,8,6917.000000, 8474.000000, 14329.000000, 8968.000000, 9672.00000000000000000000
1000000,1,6131.000000, 6009.000000, 5882.000000, 5501.000000, 5880.75000000000000000000
1000000,2,12330.000000, 11675.000000, 10917.000000, 10937.000000, 11464.75000000000000000000
1000000,4,23917.000000, 37635.000000, 21573.000000, 20873.000000, 25999.50000000000000000000
1000000,8,22191.000000, 23395.000000, 24302.000000, 22540.000000, 23107.00000000000000000000
