Size,Number of threads,Execution time1,Execution time2,Execution time3,Execution time4,Average
128,1,11825.000000, 11572.000000, 11686.000000, 11627.000000, 11677.50000000000000000000
128,2,11717.000000, 11846.000000, 11837.000000, 11815.000000, 11803.75000000000000000000
128,4,11803.000000, 12631.000000, 12018.000000, 12216.000000, 12167.00000000000000000000
128,8,12153.000000, 12256.000000, 12177.000000, 12440.000000, 12256.50000000000000000000
256,1,92466.000000, 93660.000000, 93020.000000, 92621.000000, 92941.75000000000000000000
256,2,92415.000000, 92696.000000, 92165.000000, 92535.000000, 92452.75000000000000000000
256,4,97984.000000, 94074.000000, 96151.000000, 92946.000000, 95288.75000000000000000000
256,8,93567.000000, 93454.000000, 99200.000000, 94537.000000, 95189.50000000000000000000
512,1,790499.000000, 761167.000000, 756199.000000, 751390.000000, 764813.75000000000000000000
512,2,750037.000000, 747571.000000, 750844.000000, 834544.000000, 770749.00000000000000000000
512,4,842299.000000, 780694.000000, 767447.000000, 745837.000000, 784069.25000000000000000000
512,8,826566.000000, 748544.000000, 753109.000000, 758128.000000, 771586.75000000000000000000
1024,1,5998060.000000, 5096613.000000, 5161674.000000, 5104050.000000, 5340099.25000000000000000000
1024,2,4883843.000000, 4773121.000000, 5085797.000000, 4959036.000000, 4925449.25000000000000000000
1024,4,4961642.000000, 4922620.000000, 4868822.000000, 4831844.000000, 4896232.00000000000000000000
1024,8,4911520.000000, 5028944.000000, 5091404.000000, 4906819.000000, 4984671.75000000000000000000
