Size,Number of threads,Execution time1,Execution time2,Execution time3,Execution time4,Average
1000,1,593.000000, 605.000000, 593.000000, 634.000000, 606.25000000000000000000
1000,2,1032.000000, 838.000000, 868.000000, 883.000000, 905.25000000000000000000
1000,4,1018.000000, 1231.000000, 1460.000000, 1135.000000, 1211.00000000000000000000
1000,8,1391.000000, 1203.000000, 1725.000000, 1604.000000, 1480.75000000000000000000
10000,1,6476.000000, 6302.000000, 6259.000000, 6335.000000, 6343.00000000000000000000
10000,2,6456.000000, 5790.000000, 6588.000000, 6648.000000, 6370.50000000000000000000
10000,4,6920.000000, 7540.000000, 7075.000000, 7102.000000, 7159.25000000000000000000
10000,8,7161.000000, 7934.000000, 7571.000000, 7978.000000, 7661.00000000000000000000
100000,1,63497.000000, 63046.000000, 68055.000000, 63178.000000, 64444.00000000000000000000
100000,2,63380.000000, 65023.000000, 63100.000000, 61199.000000, 63175.50000000000000000000
100000,4,63743.000000, 64362.000000, 65611.000000, 65188.000000, 64726.00000000000000000000
100000,8,63854.000000, 64939.000000, 65088.000000, 65763.000000, 64911.00000000000000000000
1000000,1,638041.000000, 638786.000000, 641967.000000, 640484.000000, 639819.50000000000000000000
1000000,2,637082.000000, 641937.000000, 645854.000000, 639417.000000, 641072.50000000000000000000
1000000,4,648172.000000, 640211.000000, 633570.000000, 637872.000000, 639956.25000000000000000000
1000000,8,646691.000000, 637398.000000, 634979.000000, 636439.000000, 638876.75000000000000000000
