Size,Number of threads,Execution time1,Execution time2,Execution time3,Execution time4,Average
1000,1,9.000000, 8.000000, 8.000000, 8.000000, 8.25000000000000000000
1000,2,308.000000, 184.000000, 214.000000, 181.000000, 221.75000000000000000000
1000,4,335.000000, 250.000000, 566.000000, 397.000000, 387.00000000000000000000
1000,8,649.000000, 697.000000, 904.000000, 463.000000, 678.25000000000000000000
10000,1,78.000000, 40.000000, 66.000000, 59.000000, 60.75000000000000000000
10000,2,112.000000, 208.000000, 245.000000, 211.000000, 194.00000000000000000000
10000,4,386.000000, 357.000000, 247.000000, 312.000000, 325.50000000000000000000
10000,8,561.000000, 783.000000, 874.000000, 857.000000, 768.75000000000000000000
100000,1,415.000000, 377.000000, 360.000000, 375.000000, 381.75000000000000000000
100000,2,329.000000, 602.000000, 550.000000, 576.000000, 514.25000000000000000000
100000,4,653.000000, 686.000000, 878.000000, 734.000000, 737.75000000000000000000
100000,8,1274.000000, 1050.000000, 1791.000000, 1397.000000, 1378.00000000000000000000
1000000,1,3443.000000, 3406.000000, 3396.000000, 3324.000000, 3392.25000000000000000000
1000000,2,3504.000000, 3600.000000, 3564.000000, 3429.000000, 3524.25000000000000000000
1000000,4,4639.000000, 3657.000000, 3998.000000, 3691.000000, 3996.25000000000000000000
1000000,8,3774.000000, 4443.000000, 4240.000000, 4119.000000, 4144.00000000000000000000
