Size,Number of threads,Execution time1,Execution time2,Execution time3,Execution time4,Average
1000,1,7.000000, 7.000000, 8.000000, 10.000000, 8.00000000000000000000
1000,2,463.000000, 620.000000, 654.000000, 983.000000, 680.00000000000000000000
1000,4,840.000000, 1101.000000, 1748.000000, 1529.000000, 1304.50000000000000000000
1000,8,1375.000000, 1415.000000, 2495.000000, 2138.000000, 1855.75000000000000000000
10000,1,39.000000, 39.000000, 38.000000, 39.000000, 38.75000000000000000000
10000,2,1088.000000, 907.000000, 1176.000000, 1168.000000, 1084.75000000000000000000
10000,4,2148.000000, 2297.000000, 3235.000000, 3250.000000, 2732.50000000000000000000
10000,8,2632.000000, 1825.000000, 3561.000000, 4186.000000, 3051.00000000000000000000
100000,1,379.000000, 379.000000, 382.000000, 425.000000, 391.25000000000000000000
100000,2,2578.000000, 2966.000000, 2789.000000, 2966.000000, 2824.75000000000000000000
100000,4,4529.000000, 7981.000000, 7540.000000, 7311.000000, 6840.25000000000000000000
100000,8,6821.000000, 7955.000000, 8273.000000, 7875.000000, 7731.00000000000000000000
1000000,1,6146.000000, 5963.000000, 5801.000000, 4643.000000, 5638.25000000000000000000
1000000,2,10759.000000, 12664.000000, 11681.000000, 11626.000000, 11682.50000000000000000000
1000000,4,20958.000000, 22975.000000, 26076.000000, 22568.000000, 23144.25000000000000000000
1000000,8,22223.000000, 23587.000000, 20729.000000, 22734.000000, 22318.25000000000000000000
